Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"green to blue","daniel.mp3","Backroom","Favorite Songs","Favorite","SE6SA2227610","4zzxSXdXK4gLEOyGpPpb9v"
"Die With A Smile","Lady Gaga","Die With A Smile","Favorite Songs","Favorite","USUM72409273","2plbrEY59IikOBgBGLjaoe"
"Mary On A Cross","Ghost","Seven Inches of Satanic Panic","Favorite Songs","Favorite","USC4R1902750","2wBnZdVWa5jVpvYRfGU7rP"
"2 days into college","Aimee Carty","2 days into college","Favorite Songs","Favorite","QZWFH2353735","3J7xAcSC9UGaJDANSUBJpy"
"Worst Day","Laura Nahr","Worst Day","Favorite Songs","Favorite","QMFMF2412479","34WEgaMkqYHT9316Pf9gxT"
"DRIP","BABYMONSTER","DRIP","Favorite Songs","Favorite","KRA402400056","198zDKzyktXRG1PGpidY9h"
"sabishii","NIB","nanimonai","Favorite Songs","Favorite","QM42K1930250","16We6VzcbcoNjnctBYN3Lr"
"APT.","ROSÉ","APT.","Favorite Songs","Favorite","USAT22409172","5vNRhkKd0yEAg8suGBpjeY"
"Touch","KATSEYE","SIS (Soft Is Strong)","Favorite Songs","Favorite","USUM72407248","3NyZXtW72Gb42RaqLt7fh9"
"Carry You Home","Alex Warren","Carry You Home","Favorite Songs","Favorite","USAT22403017","4uzKAj0mIyYmyhsRRyPXaQ"
"Falling","Harry Styles","Fine Line","Favorite Songs","Favorite","USSM11912590","1ZMiCix7XSAbfAJlEZWMCp"
"Take Me Home","ZUBIN","Take Me Home","Favorite Songs","Favorite","QZFZ32492342","09VP3MkHbI4TvJUMxB03Z4"
"Don't stop loving","shimamo","Don't stop loving","Favorite Songs","Favorite","JPWP02400812","4XK0xqjjxWKILttKapCDuG"
"MIRROR","Ado","MIRROR","Favorite Songs","Favorite","JPPO02402466","0NtfH5RUt4V3Vzh18Wuc23"
"If I Ain't Got You","Alicia Keys","The Diary Of Alicia Keys","Favorite Songs","Favorite","USJAY0300452","3XVBdLihbNbxUwZosxcGuJ"
"CROW","UPIKO","CROW","Favorite Songs","Favorite","TCJPY2368077","0QGWqZnE4C5MU4YMWG9BOk"
"The Fire","Vincent Lima","The Fire","Favorite Songs","Favorite","QZHN72499012","0loaM97K2TYp3KzKzQCycL"
"RATATATA","BABYMETAL","RATATATA","Favorite Songs","Favorite","GBDHC2549601","14WYmNQWvR2TTWoRp8t9Ml"
"The Search","NF","The Search","Favorite Songs","Favorite","USUM71907048","2OKo7g3KfmCt3kyLvUAL0g"
"Heart On Fire In Mexico","Abby Anderson","Heart On Fire In Mexico","Favorite Songs","Favorite","QZVQW2300012","72SRZVihNBosupaENmkdrv"
"Stargazing","Myles Smith","Stargazing","Favorite Songs","Favorite","GBARL2400510","3Vr3zh0r7ALn8VLqCiRR10"
"Lose Control","Teddy Swims","I've Tried Everything But Therapy (Part 1)","Favorite Songs","Favorite","USWB12302315","17phhZDn6oGtzMe56NuWvj"
"FIGURE IT OUT","Chandler","FIGURE IT OUT","Favorite Songs","Favorite","QZQAY2312387","0RQDBCsED70Qfq1CdRvavd"
"The Last Bit Of Us","Dean Lewis","The Last Bit Of Us (Chuksie Remix)","Favorite Songs","Favorite","AUUM72400055","449u0gc26IelH6yboZXHje"
"Soldier, Poet, King","The Oh Hellos","Dear Wormwood","Favorite Songs","Favorite","USAT21502721","3xtiXNDbSKxy20I7D6vFUg"
"someday i'll get it","Alek Olsen","someday i'll get it","Favorite Songs","Favorite","GBMJG2330804","1lb0KfG9EyfSBsEifTUtXY"
"The Last Bit Of Us","Dean Lewis","The Last Bit Of Us","Favorite Songs","Favorite","AUUM72400055","3cgHwqbHcu1DKFADvkgPJ7"
"High Hopes","Gabriela Bee","High Hopes","Favorite Songs","Favorite","USDY41920522","7hXBXf9eGOqKQBUeWZAYHy"
"Cute and Happy","Irene Wong","Cute and Happy","Favorite Songs","Favorite","QZPEW2404250","3HAbJmoxyrk4QVZjlBSzqL"
"At Last","Etta James","At Last!","Favorite Songs","Favorite","USMC16046323","4Hhv2vrOTy89HFRcjU3QOx"
"我会等","承桓","我会等","Favorite Songs","Favorite","FR96X2399453","5Rzpn60KTM11EBETHaF9Kt"
"Fuck This Job","Wheeler Walker Jr.","Ram","Favorite Songs","Favorite","QZYBY2300508","6ssME0W7TX3dlTDpSu8TuN"
"ハレハレヤ","UniteUp!","ハレハレヤ","Favorite Songs","Favorite","JPP302101961","6gBHA0wQbD4hwCLtOsmkw9"
"Under The Influence","Chris Brown","Indigo (Extended)","Favorite Songs","Favorite","USRC11902743","5IgjP7X4th6nMNDh4akUHb"
"I Sent My Therapist To Therapy","Alec Benjamin","I Sent My Therapist To Therapy","Favorite Songs","Favorite","USAT22312718","6ofVkSSWsDcnzRCNwrvpXB"
"我期待的不是雪","张妙格","我期待的不是雪","Favorite Songs","Favorite","HKG731670098","2deIA64Gfsm50VTsKwrxnQ"
"Favorite Skeleton","Irene Wong","Favorite Skeleton","Favorite Songs","Favorite","AUBEC2349309","0YYQOfiakCVDS5HUFE5fAo"
"The Legendary Christmas Song","JR De Guzman","The Legendary Christmas Song","Favorite Songs","Favorite","QZNWZ2026808","49MUYL1OP2UyUwbUYK69oH"
"Older","Sasha Alex Sloan","Loser","Favorite Songs","Favorite","USRC11803527","3kywzyEr7V106Un5cDyh12"
"Houdini","Dua Lipa","Houdini","Favorite Songs","Favorite","GBAHT2301246","4OMJGnvZfDvsePyCwRGO7X"
"Monster","John Michael Howell","Monster","Favorite Songs","Favorite","QZTB82330655","5YPGUtOirrOgAXIPNLTWMw"
"ASI ES LA VIDA","Enrique Iglesias","ASI ES LA VIDA","Favorite Songs","Favorite","USSD12300536","0Me3GyNuLOa1YTIxhJPyCn"
"Summertime Friends","The Chainsmokers","Summertime Friends","Favorite Songs","Favorite","USQX92304752","7JLzv38qr5GxXYqQfuQJP9"
"I WANNA BE YOUR SLAVE","Måneskin","Teatro d'ira - Vol. I","Favorite Songs","Favorite","ITB002100115","4pt5fDVTg5GhEvEtlz9dKk"
"24","sundial","24","Favorite Songs","Favorite","USLD91734680","5nsMKSAJwcr1pA9I6PW429"
"Kids","MGMT","Oracular Spectacular","Favorite Songs","Favorite","USSM10702135","1jJci4qxiYcOHhQR247rEU"
"Breezeblocks","alt-J","An Awesome Wave","Favorite Songs","Favorite","GBZUZ1200067","3n69hLUdIsSa1WlRmjMZlW"
"Demon Lord","Kanaria","Demon Lord","Favorite Songs","Favorite","TCJPW2365804","4jbz6Ab49pUqFbZcSslx66"
